stage,checkpoint_episode,rollout_id,step,row,col,action,reward,cumulative_reward,has_shield,event
early,50,6,19,1,1,DOWN,-1.5,-20.5,True,
early,50,6,20,2,1,UP,-1.5,-22.0,True,
early,50,6,21,1,1,DOWN,-1.5,-23.5,True,
early,50,6,22,2,1,UP,-1.5,-25.0,True,
early,50,6,23,1,1,DOWN,-1.5,-26.5,True,
early,50,6,24,2,1,UP,-1.5,-28.0,True,
early,50,6,25,1,1,DOWN,-1.5,-29.5,True,
early,50,6,26,2,1,UP,-1.5,-31.0,True,
early,50,6,27,1,1,DOWN,-1.5,-32.5,True,
early,50,6,28,2,1,UP,-1.5,-34.0,True,
early,50,6,29,1,1,DOWN,-1.5,-35.5,True,
early,50,6,30,2,1,UP,-1.5,-37.0,True,
early,50,6,31,1,1,DOWN,-1.5,-38.5,True,
early,50,6,32,2,1,UP,-1.5,-40.0,True,
early,50,6,33,1,1,DOWN,-1.5,-41.5,True,
early,50,6,34,2,1,UP,-1.5,-43.0,True,
early,50,6,35,1,1,DOWN,-1.5,-44.5,True,
early,50,6,36,2,1,UP,-1.5,-46.0,True,
early,50,6,37,1,1,DOWN,-1.5,-47.5,True,
early,50,6,38,2,1,UP,-1.5,-49.0,True,
early,50,6,39,1,1,DOWN,-1.5,-50.5,True,
early,50,6,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,7,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,7,2,2,1,UP,-0.5,4.0,True,
early,50,7,3,1,1,DOWN,-0.5,3.5,True,
early,50,7,4,2,1,UP,-1.5,2.0,True,
early,50,7,5,1,1,DOWN,-1.5,0.5,True,
early,50,7,6,2,1,UP,-1.5,-1.0,True,
early,50,7,7,1,1,DOWN,-1.5,-2.5,True,
early,50,7,8,2,1,UP,-1.5,-4.0,True,
early,50,7,9,1,1,DOWN,-1.5,-5.5,True,
early,50,7,10,2,1,UP,-1.5,-7.0,True,
early,50,7,11,1,1,DOWN,-1.5,-8.5,True,
early,50,7,12,2,1,UP,-1.5,-10.0,True,
early,50,7,13,1,1,DOWN,-1.5,-11.5,True,
early,50,7,14,2,1,UP,-1.5,-13.0,True,
early,50,7,15,1,1,DOWN,-1.5,-14.5,True,
early,50,7,16,2,1,UP,-1.5,-16.0,True,
early,50,7,17,1,1,DOWN,-1.5,-17.5,True,
early,50,7,18,2,1,UP,-1.5,-19.0,True,
early,50,7,19,1,1,DOWN,-1.5,-20.5,True,
early,50,7,20,2,1,UP,-1.5,-22.0,True,
early,50,7,21,1,1,DOWN,-1.5,-23.5,True,
early,50,7,22,2,1,UP,-1.5,-25.0,True,
early,50,7,23,1,1,DOWN,-1.5,-26.5,True,
early,50,7,24,2,1,UP,-1.5,-28.0,True,
early,50,7,25,1,1,DOWN,-1.5,-29.5,True,
early,50,7,26,2,1,UP,-1.5,-31.0,True,
early,50,7,27,1,1,DOWN,-1.5,-32.5,True,
early,50,7,28,2,1,UP,-1.5,-34.0,True,
early,50,7,29,1,1,DOWN,-1.5,-35.5,True,
early,50,7,30,2,1,UP,-1.5,-37.0,True,
early,50,7,31,1,1,DOWN,-1.5,-38.5,True,
early,50,7,32,2,1,UP,-1.5,-40.0,True,
early,50,7,33,1,1,DOWN,-1.5,-41.5,True,
early,50,7,34,2,1,UP,-1.5,-43.0,True,
early,50,7,35,1,1,DOWN,-1.5,-44.5,True,
early,50,7,36,2,1,UP,-1.5,-46.0,True,
early,50,7,37,1,1,DOWN,-1.5,-47.5,True,
early,50,7,38,2,1,UP,-1.5,-49.0,True,
early,50,7,39,1,1,DOWN,-1.5,-50.5,True,
early,50,7,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,8,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,8,2,2,1,UP,-0.5,4.0,True,
early,50,8,3,1,1,DOWN,-0.5,3.5,True,
early,50,8,4,2,1,UP,-1.5,2.0,True,
early,50,8,5,1,1,DOWN,-1.5,0.5,True,
early,50,8,6,2,1,UP,-1.5,-1.0,True,
early,50,8,7,1,1,DOWN,-1.5,-2.5,True,
early,50,8,8,2,1,UP,-1.5,-4.0,True,
