episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
105,100,-8.0000,0,-1,0,-1,26,-1,timeout,0,3.535824,-0.038302,-0.482597,0.000000,0.000000,0.040387,0,0.000000,0.8668,0.0000,0.5000
106,100,-8.0000,0,-1,0,-1,12,-1,timeout,0,3.029602,-0.002573,-0.458407,0.000000,0.000000,0.097213,0,0.000000,0.8656,0.0000,0.4900
107,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,3.457307,0.001331,-0.481727,0.000000,0.000000,0.009103,0,0.000000,0.8643,0.0000,0.4800
108,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,2.671841,0.007334,-0.433376,0.000000,0.000000,0.076933,0,0.000000,0.8630,0.0000,0.4700
109,100,-19.0000,0,-1,0,-1,4,66,timeout,0,2.990982,0.008805,-0.433848,0.000000,0.000000,0.056420,0,0.000000,0.8617,0.0000,0.4600
110,28,8.2000,1,-1,0,-1,4,26,shield_route,0,4.020221,-0.023529,-0.438446,0.000000,0.000000,0.056819,0,0.000000,0.8605,0.0000,0.4700
111,12,-1.2000,1,-1,0,-1,-1,10,trap_rush,0,2.327337,0.040980,-0.403707,0.000000,0.000000,0.156572,0,0.000000,0.8592,0.0000,0.4800
112,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,4.544379,-0.006660,-0.393630,0.000000,0.000000,0.129385,0,0.000000,0.8579,0.0000,0.4800
113,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,3.699800,-0.122516,-0.361045,0.000000,0.000000,-0.145386,0,0.000000,0.8567,0.0000,0.4900
114,100,-19.0000,0,-1,0,-1,18,62,timeout,0,3.007778,-0.021444,-0.404456,0.000000,0.000000,0.070852,0,0.000000,0.8554,0.0000,0.4800
115,100,-8.0000,0,-1,0,-1,66,-1,timeout,0,2.700311,-0.004416,-0.420487,0.000000,0.000000,0.092221,0,0.000000,0.8541,0.0000,0.4700
